ESM,PEG,AQUEOUS,CHOL,HSPC,TFR,ML,FRR,CHIP,PDI,SIZE
0,0,1,1,0,0,1,0,1,2,3.0
0,0,1,1,0,1,1,0,0,0,2.0
0,0,1,1,0,1,1,2,0,0,1.0
0,0,1,1,0,3,1,0,0,1,0.0
0,1,0,0,0,2,0,0,0,2,0.0
0,1,0,0,0,2,1,0,0,0,1.0
0,1,0,1,0,2,1,0,0,0,1.6666666666666667
0,1,0,1,0,4,1,0,0,2,3.0
0,2,0,3,1,2,0,0,0,3,3.0
0,2,1,3,1,1,0,0,1,3,2.0
0,3,0,0,2,0,0,2,0,2,0.0
0,3,0,0,2,1,0,0,0,1,0.0
0,3,0,0,2,2,0,0,0,1,1.0
0,3,0,0,2,2,0,0,0,2,0.6
0,3,0,0,2,2,0,0,0,3,1.0
0,3,0,0,2,2,0,0,1,3,1.0
0,3,0,0,2,2,0,2,1,2,0.0
0,3,0,0,2,3,0,0,0,1,0.0
0,3,0,0,2,3,0,0,0,2,0.0
0,3,0,0,2,3,0,1,0,2,1.0
0,3,0,0,2,4,0,0,0,1,0.0
0,3,0,0,2,4,0,0,0,2,0.0
0,3,0,0,2,4,0,0,0,3,0.0
0,3,0,1,2,0,0,0,0,1,3.0
0,3,0,1,2,0,0,0,0,2,0.0
0,3,0,1,2,1,0,2,0,2,0.0
0,3,0,1,2,1,0,2,1,3,2.0
0,3,0,1,2,2,0,0,0,1,0.5
0,3,0,1,2,2,0,0,0,2,0.14285714285714285
0,3,0,1,2,2,0,0,0,3,1.0
0,3,0,1,2,2,0,2,0,1,0.0
0,3,0,1,2,2,0,2,1,3,2.0
0,3,0,1,2,3,0,0,0,1,0.0
0,3,0,1,2,3,0,0,0,2,0.6666666666666666
0,3,0,1,2,3,0,0,0,3,0.0
0,3,0,1,2,3,0,1,0,2,0.0
0,3,0,1,2,4,0,0,0,1,0.0
0,3,0,1,2,4,0,0,0,2,0.0
0,3,0,2,2,0,0,2,0,2,0.0
0,3,0,2,2,2,0,0,0,1,0.16666666666666666
0,3,0,2,2,2,0,0,0,2,0.0
0,3,0,2,2,3,0,0,0,1,1.0
0,3,0,2,2,3,0,0,0,2,0.5
0,3,0,2,2,3,0,0,0,3,0.0
0,3,0,2,2,4,0,0,0,1,0.5
0,3,0,2,2,4,0,0,0,2,0.6666666666666666
0,3,1,0,2,1,0,0,0,3,0.0
0,3,1,0,2,1,0,0,1,3,3.0
0,3,1,1,2,0,0,0,0,1,0.0
0,3,1,1,2,1,0,2,1,2,3.0
0,3,1,2,2,0,0,2,0,2,0.0
0,3,1,2,2,1,0,0,0,2,0.0
0,3,1,2,2,2,0,0,0,3,2.0
0,4,0,0,2,0,0,0,0,2,0.0
0,4,0,0,2,1,0,2,0,1,0.0
0,4,0,0,2,2,0,0,0,2,0.0
0,4,0,0,2,2,0,0,0,3,0.0
0,4,0,0,2,3,0,0,0,2,1.0
0,4,0,1,2,1,0,0,0,2,0.0
0,4,0,1,2,1,0,1,0,2,0.0
0,4,0,1,2,2,0,0,0,2,1.0
0,4,0,1,2,2,0,0,0,3,0.5
0,4,0,1,2,4,0,0,0,1,1.0
0,4,0,1,2,4,0,0,0,3,0.0
0,4,0,2,2,0,0,0,0,1,0.5
0,4,0,2,2,1,0,0,0,1,0.0
1,0,0,0,0,2,1,0,0,0,0.0
1,0,0,0,0,4,1,0,0,0,0.0
1,0,0,2,0,4,1,0,0,1,2.0
1,0,1,0,0,1,1,0,1,3,0.0
1,0,1,0,0,2,1,0,0,3,0.0
2,0,0,3,0,4,1,0,0,0,0.0
2,0,0,4,0,0,1,0,0,3,2.0
2,0,0,4,0,2,1,0,0,1,1.0
2,0,0,4,0,2,1,0,0,2,1.0
2,0,0,4,0,2,1,0,0,3,1.0
2,0,0,4,0,4,1,0,0,0,1.5
3,0,0,0,0,0,1,0,0,1,3.0
3,0,0,0,0,1,1,2,1,2,1.0
3,0,0,0,0,2,1,0,0,0,1.3333333333333333
3,0,0,0,0,2,1,0,0,1,2.0
3,0,0,0,0,2,1,0,0,3,3.0
3,0,0,0,0,3,1,0,0,0,3.0
3,0,0,0,0,4,1,0,0,2,2.0
3,0,0,2,0,1,1,0,0,0,2.0
3,0,0,2,0,1,1,2,1,3,3.0
3,0,0,2,0,2,1,0,0,0,1.6666666666666667
3,0,0,2,0,2,1,0,0,3,1.0
3,0,0,2,0,3,1,0,0,1,3.0
3,0,0,2,0,3,1,0,0,2,1.0
3,0,0,2,0,4,1,0,0,0,2.0
3,0,1,0,0,0,1,0,1,3,3.0
3,0,1,0,0,0,1,2,0,3,3.0
3,1,0,0,0,4,1,0,0,0,1.0
4,0,0,0,0,0,1,0,0,0,2.0
4,0,0,0,0,1,1,0,0,0,2.0
4,0,0,0,0,1,1,0,0,1,2.0
4,0,0,0,0,1,1,1,0,0,2.0
4,0,0,0,0,2,1,0,0,0,2.0
4,0,0,0,0,2,1,0,0,1,1.0
4,0,0,0,0,3,1,0,0,3,2.0
4,0,0,0,0,4,1,0,0,0,2.0
4,0,0,0,0,4,1,0,0,1,3.0
4,0,0,0,0,4,1,0,0,2,0.0
4,0,0,3,0,0,1,2,0,3,1.0
4,0,0,3,0,0,1,2,1,1,3.0
4,0,0,3,0,1,1,0,0,0,2.0
4,0,0,3,0,2,1,0,0,2,3.0
4,0,0,3,0,3,1,0,0,0,1.0
4,0,0,3,0,4,1,0,0,0,2.5
4,0,0,4,0,0,1,0,0,3,1.0
4,0,0,4,0,1,1,0,0,1,2.0
4,0,0,4,0,1,1,2,1,3,0.0
4,0,0,4,0,2,1,0,0,0,0.6666666666666666
4,0,0,4,0,2,1,0,0,1,1.0
4,0,1,0,0,0,1,2,1,0,3.0
4,1,0,0,0,2,1,0,0,1,2.0
4,1,0,3,0,2,1,0,0,3,2.0
4,1,0,4,0,1,1,0,0,0,2.0
