ESM,PEG,CHOL,AQUEOUS,HSPC,TFR,ML,FRR,CHIP,PDI,SIZE
0,4,0,0,2,3,0,0,0,3,0.0
0,4,1,0,2,0,0,0,0,2,0.0
0,4,1,0,2,0,0,0,1,3,2.0
0,4,1,0,2,2,0,0,0,2,1.0
0,4,1,0,2,4,0,0,0,1,0.0
0,4,2,0,2,2,0,0,0,1,0.0
0,4,2,0,2,2,0,0,0,2,0.0
0,4,2,0,2,3,0,0,0,1,0.0
0,4,2,0,2,3,0,0,0,2,0.0
0,4,2,0,2,4,0,0,0,1,0.0
0,4,3,0,2,0,0,0,0,1,1.0
0,4,3,0,2,0,0,2,0,1,0.0
0,4,3,0,2,1,0,0,0,1,1.0
0,4,3,0,2,4,0,0,0,2,2.0
0,4,3,1,2,2,0,0,0,0,0.0
1,0,0,0,0,0,1,0,0,3,0.0
1,0,1,0,0,2,1,0,0,1,3.0
1,0,2,0,0,2,1,0,0,2,3.0
2,0,0,0,0,0,1,2,1,3,3.0
2,0,0,0,0,1,1,0,1,3,1.0
2,0,0,0,0,2,1,0,0,0,2.0
2,0,0,0,0,2,1,0,0,3,1.6666666666666667
2,0,1,0,0,2,1,0,0,1,2.0
2,0,1,0,0,4,1,0,0,1,2.0
2,0,1,1,0,0,1,2,0,1,1.0
2,0,2,0,0,2,1,0,0,0,2.0
2,0,3,0,0,3,1,0,0,0,2.0
2,0,3,0,0,4,1,0,0,0,0.0
2,0,3,0,0,4,1,0,0,1,2.0
2,0,4,0,0,2,1,0,0,0,0.0
2,0,4,0,0,2,1,0,0,2,3.0
2,0,4,0,0,2,1,2,0,0,1.0
2,0,4,0,0,4,1,0,0,0,2.0
2,1,3,0,0,1,1,0,1,2,3.0
2,1,3,0,0,4,1,0,0,0,1.0
2,1,3,1,0,1,1,0,0,0,3.0
2,1,4,0,0,1,1,0,0,0,2.0
3,0,0,0,0,1,1,2,1,3,3.0
3,0,0,0,0,2,1,0,0,3,2.25
3,0,0,0,0,3,1,0,0,3,2.0
3,0,0,0,0,4,1,0,0,3,1.5
3,0,1,0,0,0,1,0,0,1,3.0
3,0,1,0,0,2,1,0,0,1,1.8
3,0,1,0,0,3,1,0,0,1,2.0
3,0,1,0,0,4,1,0,0,1,0.0
3,0,2,0,0,0,1,0,0,0,3.0
3,0,2,0,0,1,1,0,0,0,2.0
3,0,2,0,0,2,1,0,0,0,2.0
3,0,2,0,0,2,1,0,0,1,1.0
3,0,3,0,0,2,1,0,0,0,2.6666666666666665
3,0,3,1,0,1,1,0,0,0,3.0
3,0,4,0,0,0,1,0,0,0,1.5
3,0,4,0,0,3,1,0,0,0,1.0
3,1,1,0,0,2,1,0,0,1,1.5
3,1,3,1,0,0,1,0,0,0,2.0
4,0,0,0,0,2,1,0,0,3,1.0
4,0,0,0,0,3,1,0,0,3,2.0
4,0,0,0,0,3,1,1,0,3,0.0
4,0,0,0,0,4,1,0,0,3,2.0
4,0,0,1,0,0,1,0,1,3,3.0
4,0,1,0,0,1,1,0,0,1,1.0
4,0,1,0,0,2,1,0,0,1,2.2857142857142856
4,0,1,0,0,3,1,1,0,1,3.0
4,0,2,0,0,1,1,0,0,0,3.0
4,0,2,0,0,1,1,2,0,1,3.0
4,0,2,0,0,2,1,0,0,0,1.25
4,0,2,0,0,3,1,0,0,0,1.0
4,0,2,1,0,1,1,0,1,3,1.0
4,0,3,0,0,2,1,0,0,0,1.0
4,0,3,0,0,2,1,2,0,0,2.0
4,0,4,0,0,0,1,0,0,0,2.0
4,0,4,0,0,2,1,0,0,0,2.5
4,0,4,0,0,3,1,0,0,0,1.0
4,0,4,0,0,3,1,1,0,0,3.0
4,0,4,0,0,4,1,0,0,0,3.0
4,1,0,0,0,3,1,0,0,3,1.0
4,1,1,0,0,4,1,0,0,1,2.0
4,1,2,0,0,1,1,0,0,0,2.0
