ESM,CHOL,FRR,AQUEOUS,PEG,TFR,HSPC,CHIP,ML,PDI,SIZE
0,1,1,0,3,1,2,0,0,2,1.0
0,1,1,0,3,1,2,0,0,3,0.5
0,1,2,0,3,0,2,0,0,1,0.0
0,1,2,0,3,0,2,1,0,3,3.0
0,1,2,0,3,1,2,0,0,2,0.0
0,1,2,0,3,1,2,1,0,3,3.0
0,1,2,0,3,2,2,0,0,3,0.0
0,1,2,1,3,0,2,1,0,3,3.0
0,1,2,1,3,1,2,1,0,3,2.0
0,2,0,0,0,0,0,0,0,2,2.0
0,2,0,0,0,0,0,0,1,0,2.3333333333333335
0,2,0,0,0,1,0,0,0,2,0.0
0,2,0,0,0,2,0,0,0,1,0.8333333333333334
0,2,0,0,0,2,0,0,0,2,0.0
0,2,0,0,0,2,0,0,1,0,1.0
0,2,0,0,0,2,0,0,1,2,0.0
0,2,0,0,0,3,0,0,0,1,0.0
0,2,0,0,0,3,0,0,1,1,0.0
0,2,0,0,0,4,0,0,0,1,0.0
0,2,0,0,0,4,0,0,0,2,0.0
0,2,0,0,3,2,2,0,0,1,0.8
0,2,0,0,3,2,2,0,0,2,0.2
0,2,0,0,3,3,2,0,0,2,0.0
0,2,0,1,0,1,0,0,0,0,1.0
0,2,0,1,0,1,0,0,0,1,0.0
0,2,0,1,0,1,0,0,1,0,1.0
0,2,0,1,3,1,2,0,0,2,0.0
0,2,0,1,3,3,2,0,0,1,0.0
0,2,2,0,0,1,0,0,0,1,1.0
0,2,2,0,0,1,0,0,0,2,0.0
0,2,2,0,0,2,0,0,0,1,0.0
0,3,0,0,0,2,0,0,0,1,0.3333333333333333
0,3,0,0,0,2,0,0,0,2,0.0
0,3,0,0,0,4,0,0,1,0,0.0
0,3,0,0,2,0,1,0,0,1,0.0
0,3,0,0,2,4,1,0,0,1,0.0
0,3,0,0,2,4,1,0,0,2,0.0
0,3,0,1,0,0,0,0,1,0,2.0
0,3,0,1,0,1,0,0,1,0,2.0
0,3,2,0,0,1,0,0,0,2,1.0
0,3,2,0,0,2,0,0,0,0,0.0
0,4,0,0,0,0,0,0,1,0,2.0
0,4,0,0,0,2,0,0,1,0,1.75
0,4,0,0,0,3,0,0,1,0,0.0
0,4,0,0,0,4,0,0,1,0,2.0
0,4,0,1,0,0,0,0,1,2,3.0
0,4,1,0,0,1,0,0,1,0,1.0
0,4,1,0,0,3,0,0,1,0,3.0
1,0,0,0,0,0,0,0,1,1,1.0
1,0,0,0,1,0,0,0,1,3,2.5
1,0,0,1,0,1,0,0,1,1,1.0
1,2,0,0,0,2,0,0,1,1,3.0
1,2,0,0,0,4,0,0,1,0,0.0
1,3,0,0,0,2,0,0,1,1,3.0
1,4,0,0,0,2,0,0,1,0,3.0
1,4,0,0,0,4,0,0,1,0,2.0
2,0,0,0,0,0,0,0,1,3,3.0
2,0,0,0,0,2,0,0,1,0,2.0
2,0,0,0,0,2,0,0,1,3,0.0
2,0,0,0,0,4,0,0,1,3,3.0
2,0,2,0,0,1,0,1,1,3,1.0
2,2,0,0,0,0,0,0,1,0,1.0
2,2,0,0,0,3,0,0,1,0,2.0
2,2,0,0,0,4,0,0,1,0,3.0
2,2,0,1,0,0,0,1,1,3,3.0
2,2,2,0,0,2,0,0,1,0,1.0
2,3,0,0,0,2,0,0,1,0,3.0
2,3,0,0,0,4,0,0,1,1,1.0
2,4,0,1,0,1,0,0,1,0,2.0
2,4,0,1,0,3,0,0,1,2,1.0
2,4,1,0,0,3,0,0,1,0,3.0
2,4,2,0,0,2,0,0,1,0,1.0
3,0,0,0,0,2,0,0,1,3,1.0
3,0,0,0,0,3,0,0,1,3,2.0
3,0,0,0,1,2,0,0,1,1,0.0
3,0,0,1,0,0,0,1,1,3,3.0
3,0,0,1,1,1,0,0,1,3,2.0
3,2,0,0,0,1,0,0,1,2,2.0
3,2,0,0,0,2,0,0,1,1,1.0
3,2,0,0,0,3,0,0,1,1,1.0
3,2,2,0,0,1,0,0,1,0,3.0
3,3,0,0,0,1,0,0,1,0,2.0
3,3,0,0,0,2,0,0,1,0,1.3333333333333333
3,3,2,0,0,0,0,1,1,0,1.0
3,3,2,0,0,2,0,0,1,0,3.0
3,4,0,0,0,0,0,0,1,0,3.0
3,4,0,0,0,2,0,0,1,0,0.0
3,4,0,0,0,2,0,0,1,2,0.0
3,4,0,0,0,4,0,0,1,0,0.0
3,4,0,1,0,3,0,0,1,0,3.0
3,4,2,0,0,1,0,0,1,0,2.0
4,0,0,0,0,1,0,0,1,0,2.0
4,0,0,0,0,1,0,0,1,3,2.0
4,0,0,0,0,2,0,0,1,1,2.0
4,0,0,0,0,2,0,0,1,3,2.0
4,0,0,0,0,4,0,0,1,3,1.0
4,0,0,0,1,1,0,0,1,3,1.0
4,0,0,0,1,2,0,0,1,3,3.0
4,0,0,1,0,1,0,0,1,0,1.0
4,0,0,1,0,3,0,0,1,3,2.0
4,0,2,0,0,0,0,1,1,3,3.0
4,2,0,0,0,0,0,0,1,0,3.0
4,2,0,0,0,2,0,0,1,0,1.3333333333333333
4,2,0,0,0,3,0,0,1,0,1.0
4,2,0,0,0,4,0,0,1,0,1.0
4,2,2,0,0,0,0,0,1,0,1.0
4,2,2,0,0,0,0,1,1,2,3.0
4,3,0,0,0,0,0,0,1,0,3.0
4,3,0,0,0,1,0,0,1,0,1.0
4,3,0,0,0,2,0,0,1,0,0.75
4,3,0,0,0,4,0,0,1,0,2.0
4,3,0,1,0,1,0,0,1,0,1.0
4,4,0,0,0,1,0,0,1,0,1.5
4,4,0,0,0,1,0,0,1,2,0.0
4,4,0,0,0,2,0,0,1,0,1.25
4,4,0,0,0,2,0,0,1,1,2.5
4,4,0,0,0,2,0,0,1,2,1.0
4,4,0,0,0,3,0,0,1,0,3.0
4,4,0,0,0,3,0,0,1,2,3.0
4,4,0,0,0,4,0,0,1,0,2.0
4,4,0,0,0,4,0,0,1,2,1.0
4,4,0,1,0,0,0,0,1,0,1.0
