ESM,PEG,CHOL,AQUEOUS,HSPC,TFR,ML,FRR,CHIP,SIZE,PDI
0,0,2,0,0,4,1,0,0,2,0.0
0,0,2,1,0,0,0,0,0,1,1.0
0,0,3,0,0,1,1,0,0,3,0.0
0,0,3,0,0,2,0,0,0,0,0.6666666666666666
0,0,3,0,0,2,0,0,0,1,2.0
0,0,3,0,0,2,1,0,0,1,0.0
0,0,3,0,0,2,1,0,0,2,0.0
0,0,3,0,0,4,0,0,0,0,1.0
0,0,3,0,0,4,0,0,0,1,0.0
0,0,3,0,0,4,1,0,0,1,0.0
0,0,3,0,0,4,1,0,0,2,0.0
0,0,3,1,0,1,0,0,0,0,2.0
0,0,4,0,0,2,1,0,0,0,0.0
0,0,4,0,0,2,1,2,0,0,0.0
0,1,0,0,0,2,0,0,0,1,2.0
0,1,0,0,0,4,0,0,0,1,3.0
0,1,1,0,0,0,1,0,0,1,1.0
0,1,1,0,0,2,0,0,0,1,2.0
0,1,1,0,0,3,1,0,0,2,1.0
0,1,2,0,0,2,0,0,0,1,1.0
0,1,3,1,0,3,1,0,0,2,0.0
0,1,4,0,0,1,1,0,0,2,0.0
0,2,0,0,1,4,0,0,0,1,2.0
0,2,0,0,1,4,0,0,0,3,2.0
0,2,0,1,1,0,0,0,1,1,3.0
0,2,1,0,1,1,0,2,0,0,2.0
0,2,3,0,1,0,0,0,0,1,1.0
0,2,3,0,1,1,0,1,0,0,1.0
0,2,3,0,1,2,0,0,0,1,1.0
0,3,0,0,2,1,0,0,0,1,3.0
0,3,0,0,2,1,0,1,0,0,3.0
0,3,0,0,2,1,0,2,0,0,1.0
0,3,0,0,2,2,0,0,0,0,2.142857142857143
0,3,0,0,2,2,0,0,0,1,2.6666666666666665
0,3,0,0,2,3,0,1,0,0,2.0
0,3,0,0,2,3,0,1,0,1,2.0
0,3,0,0,2,4,0,0,0,0,3.0
0,3,1,0,2,0,0,0,0,0,3.0
0,3,1,0,2,0,0,0,0,1,2.0
0,3,1,0,2,0,0,2,0,0,2.0
0,3,1,0,2,1,0,1,0,0,2.0
0,3,1,0,2,2,0,0,0,0,1.8
0,3,1,0,2,2,0,0,0,1,1.0
0,3,1,0,2,3,0,0,0,0,2.0
0,3,1,0,2,4,0,0,0,0,2.0
0,3,1,0,2,4,0,0,0,1,1.75
0,3,1,1,2,0,0,0,1,3,3.0
0,3,1,1,2,1,0,0,0,1,1.0
0,3,2,0,2,0,0,0,0,0,2.0
0,3,2,0,2,1,0,0,0,1,1.0
0,3,2,0,2,2,0,0,0,0,1.6666666666666667
0,3,2,0,2,2,0,0,0,1,1.5
0,3,2,0,2,2,0,0,0,2,1.0
0,3,2,0,2,3,0,0,0,0,2.0
0,3,2,0,2,3,0,1,0,0,2.0
0,3,2,0,2,4,0,0,0,0,2.0
0,3,2,0,2,4,0,0,0,1,2.0
0,3,2,1,2,1,0,0,0,0,1.0
0,3,3,0,2,0,0,0,0,0,0.0
0,3,3,0,2,2,0,0,0,0,0.0
0,3,3,0,2,4,0,0,0,0,1.0
0,3,3,0,2,4,0,0,0,1,1.0
0,4,0,0,2,0,0,0,0,0,3.0
0,4,0,0,2,1,0,0,0,0,3.0
0,4,0,0,2,2,0,0,0,0,3.0
0,4,0,0,2,3,0,0,0,0,2.5
0,4,1,0,2,0,0,0,0,0,2.0
0,4,1,0,2,0,0,0,1,2,3.0
0,4,1,0,2,2,0,0,0,1,2.0
0,4,1,0,2,4,0,0,0,0,1.0
0,4,2,0,2,2,0,0,0,0,1.3333333333333333
0,4,2,0,2,3,0,0,0,0,1.5
0,4,2,0,2,4,0,0,0,0,1.0
0,4,3,0,2,0,0,0,0,1,1.0
0,4,3,0,2,0,0,2,0,0,1.0
0,4,3,0,2,1,0,0,0,1,1.0
0,4,3,0,2,4,0,0,0,2,2.0
0,4,3,1,2,2,0,0,0,0,0.0
1,0,0,0,0,0,1,0,0,0,3.0
1,0,1,0,0,2,1,0,0,3,1.0
1,0,2,0,0,2,1,0,0,3,2.0
2,0,0,0,0,0,1,2,1,3,3.0
2,0,0,0,0,1,1,0,1,1,3.0
2,0,0,0,0,2,1,0,0,0,3.0
2,0,0,0,0,2,1,0,0,2,1.5
2,0,0,0,0,2,1,0,0,3,3.0
2,0,1,0,0,2,1,0,0,2,1.0
2,0,1,0,0,4,1,0,0,2,1.0
2,0,1,1,0,0,1,2,0,1,1.0
2,0,2,0,0,2,1,0,0,2,0.0
2,0,3,0,0,3,1,0,0,2,0.0
2,0,3,0,0,4,1,0,0,0,0.0
2,0,3,0,0,4,1,0,0,2,1.0
2,0,4,0,0,2,1,0,0,0,0.0
2,0,4,0,0,2,1,0,0,3,2.0
2,0,4,0,0,2,1,2,0,1,0.0
2,0,4,0,0,4,1,0,0,2,0.0
2,1,3,0,0,1,1,0,1,3,2.0
2,1,3,0,0,4,1,0,0,1,0.0
2,1,3,1,0,1,1,0,0,3,0.0
2,1,4,0,0,1,1,0,0,2,0.0
3,0,0,0,0,1,1,2,1,3,3.0
3,0,0,0,0,2,1,0,0,1,3.0
3,0,0,0,0,2,1,0,0,2,3.0
3,0,0,0,0,2,1,0,0,3,3.0
3,0,0,0,0,3,1,0,0,2,3.0
3,0,0,0,0,4,1,0,0,0,3.0
3,0,0,0,0,4,1,0,0,3,3.0
3,0,1,0,0,0,1,0,0,3,1.0
3,0,1,0,0,2,1,0,0,1,1.0
3,0,1,0,0,2,1,0,0,2,1.0
3,0,1,0,0,3,1,0,0,2,1.0
3,0,1,0,0,4,1,0,0,0,1.0
3,0,2,0,0,0,1,0,0,3,0.0
3,0,2,0,0,1,1,0,0,2,0.0
3,0,2,0,0,2,1,0,0,1,0.5
3,0,2,0,0,2,1,0,0,2,0.0
3,0,2,0,0,2,1,0,0,3,0.0
3,0,3,0,0,2,1,0,0,2,0.0
3,0,3,0,0,2,1,0,0,3,0.0
3,0,3,1,0,1,1,0,0,3,0.0
3,0,4,0,0,0,1,0,0,1,0.0
3,0,4,0,0,0,1,0,0,2,0.0
3,0,4,0,0,3,1,0,0,1,0.0
3,1,1,0,0,2,1,0,0,0,1.0
3,1,1,0,0,2,1,0,0,3,1.0
3,1,3,1,0,0,1,0,0,2,0.0
4,0,0,0,0,2,1,0,0,0,3.0
4,0,0,0,0,2,1,0,0,2,3.0
4,0,0,0,0,3,1,0,0,2,3.0
4,0,0,0,0,3,1,1,0,0,3.0
4,0,0,0,0,4,1,0,0,1,3.0
4,0,0,0,0,4,1,0,0,2,3.0
4,0,0,0,0,4,1,0,0,3,3.0
4,0,0,1,0,0,1,0,1,3,3.0
4,0,1,0,0,1,1,0,0,1,1.0
4,0,1,0,0,2,1,0,0,1,1.0
4,0,1,0,0,2,1,0,0,2,1.0
4,0,1,0,0,2,1,0,0,3,1.0
4,0,1,0,0,3,1,1,0,3,1.0
4,0,2,0,0,1,1,0,0,3,0.0
4,0,2,0,0,1,1,2,0,3,1.0
4,0,2,0,0,2,1,0,0,1,0.0
4,0,2,0,0,2,1,0,0,2,0.0
4,0,2,0,0,3,1,0,0,1,0.0
4,0,2,1,0,1,1,0,1,1,3.0
4,0,3,0,0,2,1,0,0,1,0.0
4,0,3,0,0,2,1,2,0,2,0.0
4,0,4,0,0,0,1,0,0,1,0.0
4,0,4,0,0,0,1,0,0,3,0.0
4,0,4,0,0,2,1,0,0,2,0.0
4,0,4,0,0,2,1,0,0,3,0.0
4,0,4,0,0,3,1,0,0,1,0.0
4,0,4,0,0,3,1,1,0,3,0.0
4,0,4,0,0,4,1,0,0,3,0.0
4,1,0,0,0,3,1,0,0,1,3.0
4,1,1,0,0,4,1,0,0,2,1.0
4,1,2,0,0,1,1,0,0,2,0.0
