ESM,CHOL,AQUEOUS,PEG,TFR,HSPC,FRR,ML,CHIP,PDI,SIZE
0,1,0,3,0,2,2,0,1,3,1.5
0,1,0,3,1,2,0,0,0,1,1.0
0,1,0,3,1,2,0,0,0,2,0.5
0,1,0,3,1,2,1,0,0,1,1.0
0,1,0,3,2,2,0,0,0,1,0.25
0,1,0,3,2,2,0,0,0,2,0.3888888888888889
0,1,0,3,2,2,0,0,0,3,0.6666666666666666
0,1,0,3,3,2,0,0,0,2,0.25
0,1,0,3,3,2,0,0,0,3,0.0
0,1,0,3,4,2,0,0,0,1,1.0
0,1,0,3,4,2,0,0,0,2,0.5
0,1,0,3,4,2,0,0,0,3,0.3333333333333333
0,1,1,3,0,2,0,0,0,2,0.5
0,1,1,3,0,2,0,0,1,3,1.5
0,1,1,3,0,2,2,0,1,3,2.0
0,1,1,3,1,2,0,0,0,2,0.0
0,1,1,3,1,2,0,0,1,3,2.0
0,1,1,3,1,2,2,0,1,3,2.0
0,2,0,0,0,0,0,0,0,1,0.0
0,2,0,0,0,0,0,1,0,0,3.0
0,2,0,0,1,0,0,0,0,1,0.0
0,2,0,0,1,0,0,0,0,2,1.0
0,2,0,0,2,0,0,0,0,1,0.25
0,2,0,0,2,0,0,0,0,2,0.0
0,2,0,0,2,0,0,1,0,1,2.0
0,2,0,0,2,0,0,1,0,2,1.0
0,2,0,0,3,0,0,0,0,0,0.0
0,2,0,0,3,0,0,0,0,2,0.0
0,2,0,0,3,0,1,0,0,1,0.0
0,2,0,0,4,0,0,0,0,1,0.25
0,2,0,0,4,0,0,1,0,0,1.0
0,2,0,0,4,0,0,1,0,1,1.0
0,2,0,3,0,2,0,0,0,1,0.5
0,2,0,3,1,2,0,0,0,2,1.0
0,2,0,3,2,2,0,0,0,1,0.6666666666666666
0,2,0,3,3,2,1,0,0,1,0.0
0,2,0,3,4,2,0,0,0,1,0.5
0,2,1,0,0,0,0,0,0,1,1.0
0,2,1,0,1,0,0,0,0,1,0.0
0,2,1,0,2,0,0,0,0,1,1.0
0,3,0,0,0,0,0,0,0,1,1.0
0,3,0,0,0,0,0,1,0,1,3.0
0,3,0,0,2,0,0,0,0,1,0.0
0,3,0,0,2,0,0,1,0,0,2.0
0,3,0,0,3,0,1,0,0,1,0.0
0,3,0,0,4,0,0,1,0,1,1.0
0,3,0,2,2,1,0,0,0,1,0.5
0,4,0,0,0,0,0,1,0,0,2.0
0,4,0,0,0,0,0,1,0,2,3.0
0,4,0,0,1,0,0,1,0,0,2.0
0,4,0,0,2,0,0,1,0,1,2.0
0,4,0,0,2,0,0,1,0,2,1.0
0,4,0,0,3,0,0,1,0,0,1.0
0,4,0,0,4,0,0,1,0,0,1.0
1,0,0,1,1,0,1,1,0,1,0.0
1,1,0,0,2,0,0,1,0,1,1.0
1,2,0,0,2,0,0,1,0,0,0.5
1,3,0,0,0,0,0,1,0,0,2.0
1,3,0,0,2,0,0,1,0,0,2.5
1,4,0,0,2,0,0,1,0,0,0.0
1,4,0,0,4,0,0,1,0,0,2.0
2,0,0,0,2,0,0,1,0,2,2.0
2,0,0,0,2,0,2,1,1,3,3.0
2,0,0,0,3,0,0,1,0,1,3.0
2,0,0,0,4,0,0,1,0,3,1.0
2,0,0,1,0,0,0,1,0,3,1.0
2,0,0,1,2,0,0,1,0,0,2.0
2,2,0,0,1,0,0,1,0,0,1.0
2,2,0,0,1,0,2,1,0,0,2.0
2,2,0,0,2,0,0,1,0,0,2.0
2,2,0,0,2,0,0,1,0,1,2.0
2,2,0,0,2,0,0,1,0,2,2.0
2,2,0,0,3,0,0,1,0,0,0.6666666666666666
2,2,0,0,3,0,0,1,0,1,1.0
2,3,0,0,1,0,0,1,0,0,2.0
2,3,0,0,1,0,2,1,0,0,0.0
2,3,0,0,4,0,0,1,0,0,2.0
2,4,0,0,1,0,2,1,0,1,1.0
2,4,0,0,2,0,0,1,0,0,3.0
2,4,0,0,3,0,0,1,0,0,2.0
2,4,0,0,3,0,0,1,0,2,2.0
2,4,1,0,1,0,0,1,0,0,3.0
3,0,0,0,2,0,0,1,0,3,1.0
3,0,0,0,3,0,0,1,0,0,2.0
3,0,0,0,4,0,0,1,0,3,2.0
3,0,0,1,2,0,0,1,0,3,2.0
3,2,0,0,0,0,0,1,0,0,2.5
3,2,0,0,2,0,0,1,0,1,1.5
3,2,0,0,4,0,0,1,0,0,1.0
3,3,0,0,2,0,0,1,0,0,1.0
3,3,1,0,0,0,0,1,0,0,0.0
3,4,0,0,0,0,0,1,0,0,2.0
3,4,0,0,1,0,0,1,0,0,1.0
3,4,0,0,1,0,0,1,0,2,2.0
3,4,0,0,1,0,2,1,0,0,0.0
3,4,0,0,2,0,0,1,0,2,2.0
3,4,0,0,3,0,0,1,0,0,2.0
3,4,0,0,3,0,0,1,0,1,0.0
3,4,0,0,4,0,0,1,0,2,1.0
4,0,0,0,0,0,0,1,0,2,1.0
4,0,0,0,0,0,0,1,0,3,2.0
4,0,0,0,1,0,2,1,1,3,3.0
4,0,0,0,4,0,0,1,0,1,2.0
4,0,0,0,4,0,0,1,0,2,2.0
4,0,0,0,4,0,0,1,0,3,2.0
4,0,0,1,0,0,0,1,0,0,2.0
4,0,0,1,1,0,0,1,0,3,2.0
4,0,0,1,2,0,0,1,0,2,1.0
4,0,0,1,2,0,0,1,0,3,1.0
4,0,0,1,3,0,1,1,0,1,2.0
4,0,0,1,4,0,0,1,0,3,2.0
4,0,1,1,0,0,0,1,1,3,0.0
4,0,1,1,1,0,0,1,0,1,2.0
4,2,0,0,2,0,0,1,0,0,1.6
4,2,0,0,3,0,0,1,0,1,1.0
4,2,0,0,4,0,0,1,0,0,2.0
4,2,0,0,4,0,0,1,0,1,2.0
4,2,1,0,0,0,0,1,0,1,2.0
4,3,0,0,0,0,0,1,0,0,3.0
4,3,0,0,0,0,2,1,0,1,1.0
4,3,0,0,1,0,0,1,0,0,1.0
4,3,0,0,1,0,2,1,1,0,1.0
4,3,0,0,2,0,0,1,0,0,2.5
4,3,0,0,4,0,0,1,0,0,2.0
4,4,0,0,0,0,0,1,0,0,1.0
4,4,0,0,0,0,2,1,0,0,1.0
4,4,0,0,1,0,0,1,0,0,1.5
4,4,0,0,2,0,0,1,0,0,1.6
4,4,0,0,2,0,0,1,0,2,2.0
4,4,0,0,4,0,0,1,0,0,1.0
4,4,0,0,4,0,0,1,0,1,1.0
