ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
62CM,ESM,Micromixer,10.0,0.0,10.0,0.0,2.5,3.5002575415843395,MQ,YES,84.46,0.067
01OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,125.56,0.263
07SM,ESM,Droplet,20.0,0.0,20.0,0.0,1.0,3.0,PBS,YES,163.558,0.316
23SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,125.959,0.339
01SM,ESM,Micromixer,5.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,116.839,0.082
15CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,162.675,0.119
26CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,YES,85.915,0.258
17OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,4.4,MQ,YES,66.039,0.243
39OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,75.29,0.214
19OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,137.968,0.05
43CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,93.195,0.262
18OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,148.899,0.356
35OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,160.969,0.082
58CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,163.213,0.091
45CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,YES,96.056,0.164
07SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.0,3.0,PBS,NO,242.045,0.591
09CM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.375,3.0,MQ,NO,7297.414,1.0
28OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,303.927,0.274
T2,ESM,Micromixer,3.0,0.0,2.0,0.0,1.0,10.0,MQ,YES,79.0,0.109
42OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,5.0,MQ,YES,107.303,0.055
02SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,3.0,MQ,NO,1929.916,0.842
39CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,73.901,0.327
27CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,YES,184.984,0.149
20CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,162.092,0.065
29OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,4.4,MQ,YES,159.526,0.071
20SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,0.25,3.0,PBS,NO,351.504,0.558
60CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,162.168,0.086
22CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,YES,124.618,0.03
16SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,50.0,MQ,YES,177.522,0.431
11SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,3.0,PBS,YES,325.634,0.489
54CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,YES,67.136,0.219
14SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,50.0,PBS,YES,133.599,0.269
17SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,3.0,PBS,NO,255.405,0.783
66CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,3.467368504525317,MQ,YES,57.03,0.219
1,ESM,Micromixer,24.92834,0.0,10.0495,0.0,2.5,5.0,MQ,YES,110.485,0.0536666666666666
20CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,68.966,0.232
67CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.375,1.0,MQ,YES,105.7,0.18
26OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,83.696,0.257
47CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,YES,198.087,0.236
64CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,2.5,1.0,MQ,YES,90.31,0.13
15OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.6,MQ,YES,100.593,0.152
10OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,164.343,0.091
19SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,MQ,YES,131.205,0.38
07CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,YES,194.774,0.204
31OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,131.852,0.295
37CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,78.159,0.326
35CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,182.155,0.099
T5,ESM,Micromixer,4.95,0.0,3.05,0.0,1.0,3.0,PBS,YES,160.0,0.239
65CM,ESM,Micromixer,12.0,0.0,8.0,0.0,1.375,3.5002575415843395,MQ,YES,98.5,0.054
08CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,YES,74.122,0.309
65CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,1.375,3.5002575415843395,MQ,YES,71.77,0.202
36OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,76.14,0.247
15SM,ESM,Micromixer,5.0,0.0,0.0,0.0,1.0,3.0,PBS,NO,2254.269,1.0
04OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,4.4,MQ,YES,125.303,0.065
50CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,94.633,0.38
10CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,YES,81.069,0.312
TTD6,HSPC,Telos,0.0,9.58,3.28,3.2,35.0,1.727,PBS,YES,109.0,0.231
30CM,ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,3.0,MQ,YES,86.863,0.089
12OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,77.339,0.229
29CM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.375,3.0,MQ,NO,4813.381,1.0
08SM,ESM,Droplet,5.0,0.0,5.0,0.0,1.0,50.0,MQ,YES,69.723,0.067
36OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,158.593,0.085
31CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,124.162,0.316
42OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.727,MQ,YES,83.115,0.203
41OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,5.0,MQ,YES,109.23,0.05
24OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,139.883,0.062
02CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,YES,132.463,0.052
48CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,YES,86.184,0.061
69CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.25,1.0,MQ,YES,103.9,0.126
TTD2,HSPC,Telos,0.0,9.58,3.2238,3.16,35.0,1.727,PBS,YES,93.0,0.145
70CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.25,3.467368504525317,MQ,YES,119.8,0.164
55CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,196.919,0.179
22CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,109.953,0.476
08CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,YES,89.206,0.083
03SD,HSPC,Droplet,0.0,9.0,3.0,3.0,0.25,50.0,MQ,NO,169.247,0.531
57CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.921,0.273
29CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,139.797,0.387
68CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.5,1.0,MQ,YES,108.9,0.217
03CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,1.8107928849972788,MQ,NO,4941.821,1.0
38CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,179.011,0.141
42CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,YES,125.356,0.071
49CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,YES,147.172,0.392
10CM,ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,3.0,MQ,YES,88.68,0.08
09OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.278,0.231
30OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,4.4,MQ,YES,63.026,0.246
38OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,171.769,0.111
01CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,1.8107928849972788,MQ,NO,,0.726
TTD0,HSPC,Telos,0.0,9.58,3.2238,3.16,15.19,1.7,PBS,YES,112.038,0.233
27CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,62.883,0.198
64CM,ESM,Micromixer,10.0,0.0,10.0,0.0,2.5,1.0,MQ,YES,105.3,0.063
06SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,50.0,PBS,YES,122.961,0.236
09OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,169.717,0.119
28OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.6,MQ,YES,107.924,0.174
60CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,77.503,0.278
56CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,168.994,0.087
66CM,ESM,Micromixer,12.0,0.0,8.0,0.0,2.5,3.467368504525317,MQ,YES,85.85,0.066
35OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.386,0.256
20OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,240.863,0.252
07OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,1.0,MQ,YES,149.89,0.421
18CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,68.133,0.235
02OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,298.002,0.263
38CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,72.999,0.295
19OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.5,3.0,MQ,YES,66.672,0.27
13SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,50.0,PBS,YES,52.067,0.26
12SM,ESM,Droplet,5.0,0.0,0.0,0.0,0.25,3.0,MQ,NO,2100.262,0.999
05SM,ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,50.0,MQ,NO,700.845,0.681
25CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,NO,622.999,0.643
37OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,78.939,0.251
31CM,ESM,Micromixer,15.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,180.646,0.132
04CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,79.661,0.268
48CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,23.0,MQ,YES,73.816,0.265
67CM,ESM,Micromixer,12.0,0.0,8.0,0.0,1.375,1.0,MQ,YES,129.1,0.029
11OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,77.848,0.228
18SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.0,3.0,MQ,NO,554.177,0.595
12OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,160.342,0.095
08OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,76.973,0.241
19CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,169.422,0.051
03SM,ESM,Droplet,20.0,0.0,20.0,0.0,0.25,50.0,MQ,YES,133.051,0.186
TTD01,HSPC,Telos,0.0,9.58,3.2238,3.16,15.19,1.7,PBS,YES,100.914,0.242
24CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,YES,111.634,0.051
59CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,175.564,0.162
01SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,0.25,3.0,MQ,YES,117.567,0.327
26OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,146.755,0.081
53CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,YES,85.58,0.333
39OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,161.298,0.103
38OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,155.532,0.297
51CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,YES,122.904,0.317
13SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,50.0,PBS,NO,1787.444,0.994
14CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,YES,68.453,0.282
33CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,,MQ,NO,298.881,0.558
22OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,81.475,0.248
61CM,ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,3.5002575415843395,MQ,YES,84.04,0.09
27OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,136.684,0.307
12SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,3.0,MQ,NO,277.332,0.735
TTD3,HSPC,Telos,0.0,9.58,3.2238,3.16,35.0,1.727,PBS,YES,90.0,0.142
23OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,141.538,0.064
04SM,ESM,Micromixer,5.0,0.0,5.0,0.0,1.0,3.0,PBS,YES,91.433,0.1
10OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.541,0.212
05SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,50.0,MQ,NO,141.591,0.597
05CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,NO,570.792,0.595
09SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.0,50.0,PBS,NO,1794.372,0.936
63CM,ESM,Micromixer,10.0,0.0,10.0,0.0,1.375,1.0,MQ,YES,110.4,0.043
45CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,NO,623.865,0.569
68CM,ESM,Micromixer,12.0,0.0,8.0,0.0,2.5,1.0,MQ,YES,129.3,0.045
41OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,2.17,1.727,MQ,YES,96.467,0.2
21CM,ESM,Micromixer,17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,1.8107928849972788,MQ,NO,834.01,0.856
15CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,70.038,0.234
18CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,165.879,0.074
11CM,ESM,Micromixer,15.0,0.0,5.0,0.0,0.25,3.0,MQ,YES,189.471,0.213
TTS1,ESM,Telos,24.92834,0.0,10.0495,0.0,17.5,5.0,MQ,YES,111.0,0.055
13OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,158.912,0.087
23CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,2.0,MQ,YES,86.444,0.343
17OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,4.4,MQ,YES,117.314,0.046
17CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,69.696,0.243
21SM,ESM,Micromixer,20.0,0.0,20.0,0.0,0.25,3.0,MQ,YES,108.176,0.106
21OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,76.545,0.261
39CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,167.896,0.114
17SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,3.0,PBS,NO,571.168,0.558
06CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,YES,107.632,0.051
06OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,155.385,0.054
36CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,176.58,0.101
24SD,HSPC,Micromixer,0.0,9.0,3.0,3.0,1.0,50.0,PBS,YES,102.376,0.385
11OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,162.206,0.121
07OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,232.108,0.322
34CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,YES,67.366,0.273
16SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,50.0,MQ,NO,731.331,0.991
25OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.004,0.233
14OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,1.6,MQ,YES,141.851,0.334
15SD,HSPC,Micromixer,0.0,3.75,0.0,1.25,1.0,3.0,PBS,YES,77.448,0.233
24SM,ESM,Micromixer,20.0,0.0,20.0,0.0,1.0,50.0,PBS,YES,85.425,0.145
47CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,2.04,2.0,MQ,YES,67.582,0.145
15OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,229.416,0.244
33OM,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,236.083,0.26
16OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.58,4.4,MQ,YES,103.514,0.306
44CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,YES,118.454,0.08
20SM,ESM,Micromixer,20.0,0.0,0.0,0.0,0.25,3.0,PBS,NO,6478.919,1.0
28CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,YES,84.319,0.059
05OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,0.25,3.0,MQ,YES,129.236,0.334
34OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,4.4,MQ,YES,75.772,0.254
04SD,HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,3.0,PBS,YES,73.088,0.238
58CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,73.733,0.286
06CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,23.0,MQ,YES,83.507,0.278
16CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,3.0,MQ,YES,154.375,0.072
02SD,HSPC,Micromixer,0.0,11.25,0.0,3.75,1.0,3.0,MQ,YES,124.403,0.403
18OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.25,3.0,MQ,YES,167.216,0.071
56CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,76.796,0.276
02CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,104.721,0.372
46CM,ESM,Micromixer,12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,YES,107.586,0.059
33CD,HSPC,Micromixer,0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,YES,96.016,0.284
20OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,1.0,MQ,YES,158.663,0.4
11SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,3.0,PBS,NO,1242.327,0.826
32OM,ESM,Micromixer,24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,158.28,0.059
08SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,19.897,0.443
54CM,ESM,Micromixer,15.0,0.0,5.0,0.0,1.375,5.0,MQ,YES,130.699,0.037
13OD,HSPC,Micromixer,0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,78.537,0.223
34OM ,ESM,Micromixer,24.779,0.0,10.121,0.0,1.375,5.0,MQ,YES,130.988,0.044
63CD,HSPC,Micromixer,0.0,7.542000000000001,6.704000000000001,2.514,1.375,1.0,MQ,YES,90.63,0.14
44CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,YES,93.161,0.376
36CD,HSPC,Micromixer,0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,YES,81.85,0.335
12CM,ESM,Micromixer,15.0,0.0,5.0,0.0,2.5,3.0,MQ,YES,157.52,0.064
05CD,HSPC,Micromixer,0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,YES,92.827,0.188
42CD,HSPC,Micromixer,0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,YES,102.022,0.354
09SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,50.0,PBS,NO,593.99,0.61
14OM,ESM,Micromixer,24.779,0.0,10.121,0.0,0.58,1.6,MQ,YES,189.764,0.195
